BOLSIG+ script file: ex.dat
READCOLLISIONS
Surge
LXCat.txt
C1    Surge    Elastic                                          
RUNSERIES
R437  0.152 Td    7.80 eV                                       
R438  0.154 Td    7.82 eV                                       
R439  0.156 Td    7.85 eV                                       
R440  0.157 Td    7.87 eV                                       
R441  0.159 Td    7.89 eV                                       
R442  0.161 Td    7.91 eV                                       
R443  0.163 Td    7.94 eV                                       
R444  0.165 Td    7.96 eV                                       
R445  0.167 Td    7.98 eV                                       
R446  0.169 Td    8.00 eV                                       
R447  0.171 Td    8.02 eV                                       
R448  0.173 Td    8.04 eV                                       
R449  0.175 Td    8.06 eV                                       
R450  0.177 Td    8.08 eV                                       
R451  0.179 Td    8.10 eV                                       
R452  0.181 Td    8.12 eV                                       
R453  0.183 Td    8.14 eV                                       
R454  0.185 Td    8.15 eV                                       
R455  0.187 Td    8.17 eV                                       
R456  0.189 Td    8.19 eV                                       
R457  0.192 Td    8.21 eV                                       
R458  0.194 Td    8.23 eV                                       
R459  0.196 Td    8.24 eV                                       
R460  0.198 Td    8.26 eV                                       
R461  0.201 Td    8.27 eV                                       
R462  0.203 Td    8.29 eV                                       
R463  0.205 Td    8.31 eV                                       
R464  0.208 Td    8.32 eV                                       
R465  0.210 Td    8.34 eV                                       
R466  0.212 Td    8.35 eV                                       
R467  0.215 Td    8.37 eV                                       
R468  0.217 Td    8.38 eV                                       
R469  0.220 Td    8.39 eV                                       
R470  0.223 Td    8.41 eV                                       
R471  0.225 Td    8.42 eV                                       
R472  0.228 Td    8.44 eV                                       
R473  0.230 Td    8.45 eV                                       
R474  0.233 Td    8.46 eV                                       
R475  0.236 Td    8.48 eV                                       
R476  0.238 Td    8.49 eV                                       
R477  0.241 Td    8.50 eV                                       
R478  0.244 Td    8.52 eV                                       
R479  0.247 Td    8.53 eV                                       
R480  0.250 Td    8.54 eV                                       
R481  0.253 Td    8.55 eV                                       
R482  0.256 Td    8.57 eV                                       
R483  0.258 Td    8.58 eV                                       
R484  0.261 Td    8.59 eV                                       
R485  0.264 Td    8.60 eV                                       
R486  0.268 Td    8.61 eV                                       
R487  0.271 Td    8.63 eV                                       
R488  0.274 Td    8.63 eV                                       
R489  0.277 Td    8.65 eV                                       
R490  0.280 Td    8.66 eV                                       
R491  0.283 Td    8.67 eV                                       
R492  0.287 Td    8.68 eV                                       
R493  0.290 Td    8.69 eV                                       
R494  0.293 Td    8.70 eV                                       
R495  0.297 Td    8.71 eV                                       
R496  0.300 Td    8.72 eV                                       
R497  0.304 Td    8.73 eV                                       
R498  0.307 Td    8.74 eV                                       
R499  0.311 Td    8.75 eV                                       
R500  0.314 Td    8.76 eV                                       
R501  0.318 Td    8.77 eV                                       
R502  0.322 Td    8.78 eV                                       
R503  0.325 Td    8.79 eV                                       
R504  0.329 Td    8.80 eV                                       
R505  0.333 Td    8.81 eV                                       
R506  0.337 Td    8.82 eV                                       
R507  0.341 Td    8.83 eV                                       
R508  0.345 Td    8.84 eV                                       
R509  0.349 Td    8.85 eV                                       
R510  0.353 Td    8.86 eV                                       
R511  0.357 Td    8.87 eV                                       
R512  0.361 Td    8.88 eV                                       
R513  0.365 Td    8.89 eV                                       
R514  0.369 Td    8.90 eV                                       
R515  0.374 Td    8.91 eV                                       
R516  0.378 Td    8.92 eV                                       
R517  0.382 Td    8.93 eV                                       
R518  0.387 Td    8.94 eV                                       
R519  0.391 Td    8.95 eV                                       
R520  0.396 Td    8.96 eV                                       
R521  0.401 Td    8.96 eV                                       
R522  0.405 Td    8.97 eV                                       
R523  0.410 Td    8.98 eV                                       
R524  0.415 Td    8.99 eV                                       
R525  0.419 Td    9.00 eV                                       
R526  0.424 Td    9.01 eV                                       
R527  0.429 Td    9.02 eV                                       
R528  0.434 Td    9.03 eV                                       
R529  0.439 Td    9.04 eV                                       
R530  0.444 Td    9.04 eV                                       
R531  0.449 Td    9.05 eV                                       
R532  0.455 Td    9.06 eV                                       
R533  0.460 Td    9.07 eV                                       
R534  0.465 Td    9.08 eV                                       
R535  0.471 Td    9.09 eV                                       
R536  0.476 Td    9.10 eV                                       
