BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Hard                                                            
LXCat.txt
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        293.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.1000E+19
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           500.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-04
Maximum # of iterations                    1000.    
Mole fraction Hard                         1.000    
 
 
0.3162	3.000
0.4217	2.000
0.5623	2.000
0.7499	3.000
1.000	2.000
1.334	3.000
1.778	2.000
2.371	3.000
3.162	2.000
4.217	3.000
5.623	2.000
7.499	3.000
10.00	3.000
13.34	2.000
17.78	3.000
23.71	3.000
31.62	2.000
42.17	3.000
56.23	2.000
74.99	3.000
100.0	3.000
 
 
C1    Hard    Elastic                                           
E/N (Td)	Rate coefficient (m3/s)
0.1000	0.8679E-14
0.1334	0.9706E-14
0.1778	0.1094E-13
0.2371	0.1239E-13
0.3162	0.1411E-13
0.4217	0.1612E-13
0.5623	0.1847E-13
0.7499	0.2119E-13
1.000	0.2436E-13
1.334	0.2804E-13
1.778	0.3229E-13
2.371	0.3722E-13
3.162	0.4292E-13
4.217	0.4951E-13
5.623	0.5712E-13
7.499	0.6592E-13
10.00	0.7609E-13
13.34	0.8784E-13
17.78	0.1014E-12
23.71	0.1171E-12
31.62	0.1352E-12
42.17	0.1561E-12
56.23	0.1802E-12
74.99	0.2081E-12
100.0	0.2403E-12
 
 
Hard                                                            
E/N (Td)	Inelastic energy loss coefficient (eV m3/s)
0.1000	0.000
0.1334	0.000
0.1778	0.000
0.2371	0.000
0.3162	0.000
0.4217	0.000
0.5623	0.000
0.7499	0.000
1.000	0.000
1.334	0.000
1.778	0.000
2.371	0.000
3.162	0.000
4.217	0.000
5.623	0.000
7.499	0.000
10.00	0.000
13.34	0.000
17.78	0.000
23.71	0.000
31.62	0.000
42.17	0.000
56.23	0.000
74.99	0.000
100.0	0.000
 
 
