BOLSIG+ script file: ex.dat
READCOLLISIONS
Surge
LXCat.txt
C1    Surge    Elastic                                          
RUNSERIES
R334  0.100 Td    15.4 eV                                       
R335  0.101 Td    15.5 eV                                       
R336  0.103 Td    15.6 eV                                       
R337  0.104 Td    15.6 eV                                       
R338  0.106 Td    15.7 eV                                       
R339  0.107 Td    15.8 eV                                       
R340  0.109 Td    15.9 eV                                       
R341  0.110 Td    16.0 eV                                       
R342  0.112 Td    16.1 eV                                       
R343  0.113 Td    16.1 eV                                       
R344  0.115 Td    16.2 eV                                       
R345  0.116 Td    16.3 eV                                       
R346  0.118 Td    16.4 eV                                       
R347  0.120 Td    16.5 eV                                       
R348  0.121 Td    16.5 eV                                       
R349  0.123 Td    16.6 eV                                       
R350  0.125 Td    16.7 eV                                       
R351  0.127 Td    16.8 eV                                       
R352  0.128 Td    16.9 eV                                       
R353  0.130 Td    17.0 eV                                       
R354  0.132 Td    17.0 eV                                       
R355  0.134 Td    17.1 eV                                       
R356  0.136 Td    17.2 eV                                       
R357  0.137 Td    17.3 eV                                       
R358  0.139 Td    17.4 eV                                       
R359  0.141 Td    17.5 eV                                       
R360  0.143 Td    17.5 eV                                       
R361  0.145 Td    17.6 eV                                       
R362  0.147 Td    17.7 eV                                       
R363  0.149 Td    17.8 eV                                       
R364  0.151 Td    17.9 eV                                       
R365  0.154 Td    18.0 eV                                       
R366  0.156 Td    18.1 eV                                       
R367  0.158 Td    18.2 eV                                       
R368  0.160 Td    18.2 eV                                       
R369  0.162 Td    18.3 eV                                       
R370  0.165 Td    18.4 eV                                       
R371  0.167 Td    18.5 eV                                       
R372  0.169 Td    18.6 eV                                       
R373  0.171 Td    18.7 eV                                       
R374  0.174 Td    18.8 eV                                       
R375  0.176 Td    18.9 eV                                       
R376  0.179 Td    19.0 eV                                       
R377  0.181 Td    19.0 eV                                       
R378  0.184 Td    19.1 eV                                       
R379  0.186 Td    19.2 eV                                       
R380  0.189 Td    19.3 eV                                       
R381  0.192 Td    19.4 eV                                       
R382  0.194 Td    19.5 eV                                       
R383  0.197 Td    19.6 eV                                       
R384  0.200 Td    19.7 eV                                       
R385  0.202 Td    19.8 eV                                       
R386  0.205 Td    19.9 eV                                       
R387  0.208 Td    20.0 eV                                       
R388  0.211 Td    20.1 eV                                       
R389  0.214 Td    20.1 eV                                       
R390  0.217 Td    20.2 eV                                       
R391  0.220 Td    20.3 eV                                       
R392  0.223 Td    20.4 eV                                       
R393  0.226 Td    20.5 eV                                       
R394  0.229 Td    20.6 eV                                       
R395  0.232 Td    20.7 eV                                       
R396  0.236 Td    20.8 eV                                       
R397  0.239 Td    20.9 eV                                       
R398  0.242 Td    21.0 eV                                       
R399  0.246 Td    21.1 eV                                       
R400  0.249 Td    21.2 eV                                       
R401  0.253 Td    21.3 eV                                       
R402  0.256 Td    21.4 eV                                       
R403  0.260 Td    21.5 eV                                       
R404  0.263 Td    21.6 eV                                       
R405  0.267 Td    21.7 eV                                       
R406  0.271 Td    21.8 eV                                       
R407  0.274 Td    21.9 eV                                       
R408  0.278 Td    22.0 eV                                       
R409  0.282 Td    22.1 eV                                       
R410  0.286 Td    22.2 eV                                       
R411  0.290 Td    22.3 eV                                       
R412  0.294 Td    22.4 eV                                       
R413  0.298 Td    22.5 eV                                       
R414  0.302 Td    22.6 eV                                       
R415  0.307 Td    22.7 eV                                       
R416  0.311 Td    22.8 eV                                       
R417  0.315 Td    22.9 eV                                       
R418  0.320 Td    23.0 eV                                       
R419  0.324 Td    23.1 eV                                       
R420  0.328 Td    23.2 eV                                       
R421  0.333 Td    23.3 eV                                       
R422  0.338 Td    23.4 eV                                       
R423  0.342 Td    23.5 eV                                       
R424  0.347 Td    23.7 eV                                       
R425  0.352 Td    23.8 eV                                       
R426  0.357 Td    23.9 eV                                       
R427  0.362 Td    24.0 eV                                       
R428  0.367 Td    24.1 eV                                       
R429  0.372 Td    24.2 eV                                       
R430  0.377 Td    24.3 eV                                       
R431  0.382 Td    24.4 eV                                       
R432  0.388 Td    24.5 eV                                       
R433  0.393 Td    24.6 eV                                       
R434  0.399 Td    24.7 eV                                       
R435  0.404 Td    24.9 eV                                       
R436  0.410 Td    25.0 eV                                       
R437  0.416 Td    25.1 eV                                       
R438  0.421 Td    25.2 eV                                       
R439  0.427 Td    25.3 eV                                       
R440  0.433 Td    25.4 eV                                       
R441  0.439 Td    25.5 eV                                       
R442  0.445 Td    25.6 eV                                       
R443  0.451 Td    25.8 eV                                       
R444  0.458 Td    25.9 eV                                       
R445  0.464 Td    26.0 eV                                       
R446  0.471 Td    26.1 eV                                       
R447  0.477 Td    26.2 eV                                       
R448  0.484 Td    26.3 eV                                       
R449  0.491 Td    26.5 eV                                       
R450  0.497 Td    26.6 eV                                       
R451  0.504 Td    26.7 eV                                       
R452  0.511 Td    26.8 eV                                       
R453  0.518 Td    26.9 eV                                       
R454  0.526 Td    27.0 eV                                       
R455  0.533 Td    27.2 eV                                       
R456  0.540 Td    27.3 eV                                       
R457  0.548 Td    27.4 eV                                       
R458  0.556 Td    27.5 eV                                       
R459  0.563 Td    27.7 eV                                       
R460  0.571 Td    27.8 eV                                       
R461  0.579 Td    27.9 eV                                       
R462  0.587 Td    28.0 eV                                       
R463  0.595 Td    28.2 eV                                       
R464  0.604 Td    28.3 eV                                       
R465  0.612 Td    28.4 eV                                       
R466  0.621 Td    28.5 eV                                       
R467  0.629 Td    28.7 eV                                       
R468  0.638 Td    28.8 eV                                       
R469  0.647 Td    28.9 eV                                       
R470  0.656 Td    29.0 eV                                       
R471  0.665 Td    29.2 eV                                       
R472  0.674 Td    29.3 eV                                       
R473  0.684 Td    29.4 eV                                       
R474  0.693 Td    29.6 eV                                       
R475  0.703 Td    29.7 eV                                       
R476  0.713 Td    29.8 eV                                       
R477  0.723 Td    30.0 eV                                       
R478  0.733 Td    30.1 eV                                       
R479  0.743 Td    30.2 eV                                       
R480  0.753 Td    30.4 eV                                       
R481  0.764 Td    30.5 eV                                       
R482  0.774 Td    30.6 eV                                       
R483  0.785 Td    30.8 eV                                       
R484  0.796 Td    30.9 eV                                       
R485  0.807 Td    31.0 eV                                       
R486  0.818 Td    31.2 eV                                       
R487  0.830 Td    31.3 eV                                       
R488  0.841 Td    31.5 eV                                       
R489  0.853 Td    31.6 eV                                       
R490  0.865 Td    31.7 eV                                       
R491  0.877 Td    31.9 eV                                       
R492  0.889 Td    32.0 eV                                       
R493  0.901 Td    32.2 eV                                       
R494  0.914 Td    32.3 eV                                       
R495  0.927 Td    32.4 eV                                       
R496  0.940 Td    32.6 eV                                       
R497  0.953 Td    32.7 eV                                       
R498  0.966 Td    32.9 eV                                       
R499  0.979 Td    33.0 eV                                       
R500  0.993 Td    33.2 eV                                       
R501  1.01 Td    33.3 eV                                        
R502  1.02 Td    33.5 eV                                        
R503  1.04 Td    33.6 eV                                        
R504  1.05 Td    33.8 eV                                        
R505  1.06 Td    33.9 eV                                        
R506  1.08 Td    34.1 eV                                        
R507  1.09 Td    34.2 eV                                        
R508  1.11 Td    34.4 eV                                        
R509  1.12 Td    34.5 eV                                        
R510  1.14 Td    34.7 eV                                        
R511  1.16 Td    34.8 eV                                        
R512  1.17 Td    35.0 eV                                        
R513  1.19 Td    35.2 eV                                        
R514  1.21 Td    35.3 eV                                        
R515  1.22 Td    35.5 eV                                        
R516  1.24 Td    35.6 eV                                        
R517  1.26 Td    35.8 eV                                        
R518  1.27 Td    36.0 eV                                        
R519  1.29 Td    36.1 eV                                        
R520  1.31 Td    36.3 eV                                        
R521  1.33 Td    36.4 eV                                        
R522  1.35 Td    36.6 eV                                        
R523  1.37 Td    36.8 eV                                        
R524  1.38 Td    36.9 eV                                        
R525  1.40 Td    37.1 eV                                        
R526  1.42 Td    37.3 eV                                        
R527  1.44 Td    37.4 eV                                        
R528  1.46 Td    37.6 eV                                        
R529  1.48 Td    37.8 eV                                        
R530  1.50 Td    37.9 eV                                        
R531  1.52 Td    38.1 eV                                        
R532  1.55 Td    38.3 eV                                        
R533  1.57 Td    38.5 eV                                        
R534  1.59 Td    38.6 eV                                        
R535  1.61 Td    38.8 eV                                        
R536  1.63 Td    39.0 eV                                        
R537  1.66 Td    39.2 eV                                        
